시군구명,합계
송파구,155
강서구,468
강남구,258
서초구,296
영등포구,124
구로구,106
양천구,218
노원구,155
강동구,747
은평구,101
중랑구,164
관악구,112
성북구,352
마포구,95
성동구,43
동대문구,90
광진구,193
금천구,129
동작구,160
도봉구,84
서대문구,87
강북구,103
용산구,213
중구,150
종로구,255
