,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 합계,연 평균
D-10,화랑로(화랑대역),2267436.0,2248149.0,2554014.0,2066246.0,2095655.0,2038920.0,2123745.0,2036508.0,1990355.0,2148385.0,2064133.0,1948773.0,25582319.0,2131859.9166666665
D-11,도봉로(쌍문역),861935.0,1147783.0,1457587.0,1411835.0,1451535.0,1244110.0,1466151.0,1444741.0,1354240.0,693483.0,1375224.0,1282913.0,15191537.0,1265961.4166666667
D-12,동부간선도로(월계1교),3622030.0,3286491.0,3731784.0,3495062.0,3710328.0,3603459.0,3664878.0,3599879.0,3578319.0,3777279.0,3654777.0,3512001.0,43236287.0,3603023.9166666665
D-13,동일로(노원역),1290181.0,1201280.0,1355158.0,1301033.0,1369329.0,1289588.0,1317034.0,1301898.0,1270190.0,1201280.0,1231654.0,1222056.0,15350681.0,1279223.4166666667
D-14,증산로(디지털미디어시티역),2187233.0,1994242.0,2268653.0,2216791.0,2278068.0,2203971.0,2264685.0,2208194.0,2148812.0,1781186.0,861635.0,1408337.0,23821807.0,1985150.5833333333
D-15,통일로(산골고개정류장),1920206.0,1856665.0,2104334.0,1984395.0,2071595.0,2054678.0,2106213.0,2022036.0,1965847.0,2029706.0,1864227.0,1654527.0,23634429.0,1969535.75
D-16,성산로(연희IC),1894581.0,2093736.0,2426283.0,2334230.0,2415224.0,2338454.0,2414836.0,2347964.0,2255433.0,2431464.0,2364890.0,2260494.0,27577589.0,2298132.4166666665
D-17,연희로(연희IC),685056.0,849564.0,1169722.0,1113312.0,1014137.0,1086886.0,1128069.0,1105988.0,1070350.0,1126372.0,1089750.0,1052593.0,12491799.0,1040983.25
D-18,남부순환로(화곡로입구 교차로),0.0,0.0,1347295.0,2123057.0,2229134.0,0.0,0.0,876472.0,905740.0,2149473.0,1660066.0,1753891.0,13045128.0,1087094.0
D-19,남부순환로(신월IC),3229348.0,2990798.0,2982756.0,1691537.0,1770681.0,3044462.0,1758578.0,0.0,1594299.0,3198419.0,2978744.0,3040108.0,28279730.0,2356644.1666666665
D-20,강서로(화곡터널),1188173.0,1090338.0,1239535.0,1174666.0,1225246.0,1186182.0,1228061.0,1196212.0,1156720.0,1221210.0,1201248.0,1138822.0,14246413.0,1187201.0833333333
D-21,공항대로(발산역),2197510.0,2070579.0,2237640.0,1653859.0,1679566.0,435489.0,765517.0,746252.0,721924.0,763119.0,734585.0,692086.0,14698126.0,1224843.8333333333
D-22,경인로(오류IC),1462756.0,1363838.0,1554862.0,1490477.0,1429435.0,1206373.0,1354278.0,1204971.0,1381864.0,1463932.0,1521590.0,1435098.0,16869474.0,1405789.5
D-23,경인로(거리공원입구교차로),1597233.0,1470240.0,1627912.0,1600245.0,1658729.0,1597946.0,1629669.0,1572192.0,1534896.0,1611030.0,1460532.0,1474747.0,18835371.0,1569614.25
D-24,시흥대로(시흥IC),2335193.0,2222078.0,2572656.0,2456645.0,2563442.0,2445072.0,2535197.0,2194400.0,2367534.0,2480875.0,2485477.0,2307923.0,28966492.0,2413874.3333333335
D-25,영등포로(오목교),1759034.0,0.0,529955.0,819450.0,0.0,0.0,0.0,1683909.0,1505201.0,1717920.0,1646922.0,1669310.0,11331701.0,944308.4166666666
D-26,시흥대로(구로디지털단지역),2215471.0,2120529.0,2411021.0,2334065.0,2417745.0,2309370.0,2378541.0,2294926.0,2212478.0,2291409.0,2280618.0,2160761.0,27426934.0,2285577.8333333335
D-27,제물포길(여의2교),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716122.0,1716122.0,143010.16666666666
D-28,경인로(서울교),1264503.0,1185294.0,1243442.0,0.0,0.0,1048941.0,1334644.0,1332608.0,1252150.0,1307184.0,0.0,2178113.0,12146879.0,1012239.9166666666
D-29,여의대방로(여의교),1948132.0,2311039.0,2648902.0,2598457.0,2600528.0,1919077.0,1317147.0,1281416.0,1219865.0,600695.0,430812.0,2403548.0,21279618.0,1773301.5
D-30,양녕로(상도터널),2180971.0,2018429.0,2301453.0,2193702.0,2305831.0,2232948.0,2281518.0,2227223.0,2182175.0,2241965.0,2039908.0,2031475.0,26237598.0,2186466.5
D-31,동작대로(총신대입구역),3209400.0,3070786.0,3517602.0,2869567.0,2907659.0,2788963.0,2744044.0,2523640.0,2454248.0,2713153.0,2303478.0,2532707.0,33635247.0,2802937.25
D-32,문성로(난곡터널),535095.0,489411.0,559969.0,521549.0,560914.0,538071.0,563605.0,540190.0,515466.0,535057.0,493726.0,487921.0,6340974.0,528414.5
D-33,남부순환로(낙성대역),3035231.0,2770683.0,3188204.0,3054020.0,3141644.0,2868387.0,3051298.0,2967735.0,1402350.0,1483495.0,1366325.0,1389939.0,29719311.0,2476609.25
D-34,남부순환로(예술의전당),2782348.0,2471237.0,2896518.0,2819481.0,1347748.0,1333781.0,871720.0,0.0,0.0,722483.0,2326216.0,2599948.0,20171480.0,1680956.6666666667
D-35,강남대로(강남역-신분당),2273538.0,2025862.0,2291412.0,1034235.0,1696944.0,1635040.0,1714003.0,1645206.0,1554305.0,1735592.0,1725584.0,1646135.0,20977856.0,1748154.6666666667
D-36,사평대로(고속터미널역),2678715.0,2446134.0,2853318.0,2728843.0,2828572.0,2707557.0,2767121.0,2486766.0,2235745.0,2415659.0,2510260.0,2374105.0,31032795.0,2586066.25
D-37,반포대로(서초역),3112522.0,2685409.0,3187770.0,2515594.0,2548432.0,2440108.0,2036407.0,2409267.0,2319667.0,2584200.0,2524305.0,2367152.0,30730833.0,2560902.75
D-38,언주로(매봉터널),1862111.0,1579538.0,1937976.0,1869115.0,1680581.0,1733527.0,1857706.0,1704721.0,1472610.0,1760754.0,1631593.0,1710784.0,20801016.0,1733418.0
D-39,남부순환로(수서IC),2458191.0,2419405.0,2972773.0,2869426.0,2897266.0,2874646.0,2956429.0,2698160.0,2285582.0,2906421.0,2333526.0,2737254.0,32409079.0,2700756.5833333335
D-40,헌릉로(세곡동사거리),1709025.0,1609397.0,1856046.0,1821507.0,1891116.0,1838262.0,1853915.0,1646917.0,1776451.0,1888013.0,1730579.0,1707552.0,21328780.0,1777398.3333333333
D-41,밤고개길(세곡동사거리),671136.0,513422.0,1335523.0,1880505.0,1885697.0,1795829.0,1478921.0,1744916.0,1808273.0,1915393.0,1844991.0,1721823.0,18596429.0,1549702.4166666667
D-42,테헤란로(선릉역),2197865.0,1882556.0,2308158.0,2182933.0,2126091.0,2079643.0,2244462.0,2211520.0,2028991.0,2207419.0,1985116.0,1852084.0,25306838.0,2108903.1666666665
D-43,강남대로(신사역),2369615.0,2322684.0,2919429.0,1994985.0,2283959.0,2227809.0,2334389.0,2253422.0,2116981.0,2229857.0,2241999.0,2141637.0,27436766.0,2286397.1666666665
D-44,올림픽로(종합운동장),658757.0,609509.0,613218.0,1063461.0,1132972.0,1092611.0,1115085.0,1029362.0,724262.0,513923.0,817636.0,1043575.0,10414371.0,867864.25
D-45,올림픽로(잠실3사거리~잠실역),1025606.0,964453.0,869621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773893.0,1975711.0,6609284.0,550773.6666666666
D-46,올림픽로(송파구청~잠실역),1568873.0,1469162.0,1464871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4502906.0,375242.1666666667
D-47,올림픽로(몽촌토성역~올림픽회관),1560722.0,1482631.0,1586146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4629499.0,385791.5833333333
D-48,백제고분로(종합운동장),1063307.0,980824.0,1025312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3069443.0,255786.91666666666
D-50,송파대로(석촌호수(롯데월드)~석촌호수),1620600.0,1997243.0,1487528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5105371.0,425447.5833333333
D-51,송파대로(잠실대교남단교차로~잠실역),1391947.0,1272059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664006.0,222000.5
D-52,잠실로(석촌호수(롯데월드)~KT송파지사),843266.0,385428.0,345200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573894.0,131157.83333333334
D-53,석촌호수로(신천역~잠실학원사거리),0.0,0.0,569441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569441.0,47453.416666666664
D-54,석촌호수로(방이삼거리->석촌호수),383386.0,484971.0,504052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372409.0,114367.41666666667
