시군구명,합계
종로구,163
중구,163
용산구,81
성동구,228
광진구,89
동대문구,129
중랑구,99
성북구,118
강북구,113
도봉구,119
노원구,176
은평구,104
서대문구,122
마포구,186
양천구,134
강서구,183
구로구,116
금천구,108
영등포구,129
동작구,113
관악구,116
서초구,118
강남구,169
송파구,184
강동구,167
