관측소명,지점코드,시군구명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 합계,연 평균,4월~12월
Enpyeong_JinHeungro,11380,은평구,50.88842975,55.25225225,52.82510578,51.36629526,46.53560372,36.27615063,23.1377899,23.98905609,22.15007013,29.3170068,54.15774648,42.27459016,488.170097,40.68084141,36.57825657
Dongjak_Sadangro,11590,동작구,52.38670285,52.63622754,50.4972973,47.38611111,41.87726639,36.86235955,27.99185889,25.11924119,21.31428571,28.67746289,52.5097493,44.30810811,481.5666708,40.1305559,36.22738257
Gwangjin_Gwangnaruro,11215,광진구,53.23202171,52.90269461,44.73905724,54.0112202,44.01944444,39.10142857,24.28151261,22.60533708,20.42225392,28.55020633,52.44192635,40.05842391,476.365527,39.69712725,36.16575038
Nowon_Sangyero,11350,노원구,52.07036536,54.06586826,52.33468286,49.76643357,39.07432432,33.47905028,26.17208672,22.94444444,21.22031474,28.47162162,49.25594406,44.87432432,473.7294606,39.47745505,35.02872712
Geumcheon_Geumharo,11545,금천구,50.09864865,50.42026826,51.88689655,47.86433566,41.5704607,38.28291317,27.34417344,24.30352304,21.68240343,27.06232295,49.20391061,41.23378378,470.9536402,39.24613669,35.39420298
Gangseo_Gangseoro,11500,강서구,52.11729323,52.11377246,51.63821138,47.93837535,38.92016238,33.85994398,23.38617886,19.82027027,17.90299572,27.1527027,54.96923077,47.97027027,467.7894074,38.98245061,34.65779226
Yangcheon_Chungang,11470,양천구,47.00674764,48.55838323,48.54939107,44.11452514,37.70230041,34.32681564,25.22056834,23.33559783,19.03862661,26.30717185,50.14825175,45.08648649,449.394866,37.44957217,33.92003823
Joong_Deoksugunggil,11140,중구,44.68428184,45.26008969,45.23815968,43.3767507,38.11966988,34.47191011,24.70500677,22.76607387,18.3598862,26.23141655,49.15266106,41.94054054,434.3064469,36.19220391,33.23599063
Dongdaemoon_Cheonhodaero,11230,동대문구,55.06929348,50.1746988,48.9863388,46.30942335,36.97229917,29.99297753,21.07670851,17.17787115,15.40486409,23.75576662,47.66713483,40.32147743,432.9088537,36.07573781,30.9642803
Jongno_Jongno,11110,종로구,42.51376147,47.32272727,45.85948158,42.34463277,33.79047619,32.8084507,25.83108108,23.14673913,18.70328103,26.23224044,49.3924581,41.7761194,429.7214492,35.81012076,32.66949765
Jongro_Jonro35gagil,11110,종로구,44.77837838,46.07035928,46.36449864,44.44553073,36.28010825,31.42517483,23.19413408,20.2238806,18.12393162,25.47146739,48.79273828,41.38024357,426.5504456,35.54587047,32.14857882
Gangbuk_Samyangro,11305,강북구,46.89837398,49.71064468,49.94331984,47.53006993,37.0027137,31.59747546,24.64634146,20.64713896,16.38088445,19.49526387,38.57983193,43.06486486,425.4969231,35.45807693,30.99384274
Yongsan_Hannamdaero,11170,용산구,48.01106501,47.14309764,59.11670481,48.08321377,36.30499325,31.86452514,22.71291209,18.58288043,14.02710414,21.22807018,41.88391608,35.32428765,424.2827702,35.35689752,30.00132253
Gangnam_Hakdongro,11680,강남구,42.77823691,49.62125749,47.07210884,46.62623413,36.83831522,31.51476793,21.28434066,19.0270636,16.01997147,24.05142084,47.50558659,39.59620596,421.9355096,35.16129247,31.38487849
Jungnang_Yongmasanro,11260,중랑구,54.83241758,48.78378378,47.92098093,46.22190202,34.89687924,29.36338028,20.25306122,17.85888738,14.7275321,22.37212449,44.53221289,36.60433604,418.367498,34.86395816,29.64781285
Geumcheon_Doksandong,11545,금천구,,,,,,,,,,,56.10074627,40.88617886,96.98692513,,48.49346257
