시군구명,합계
종로구,1779509
중구,2516717
용산구,1448285
성동구,2203585
광진구,1684592
동대문구,1469529
중랑구,1135735
성북구,1473874
강북구,944660
도봉구,912362
노원구,1538956
은평구,1424502
서대문구,1268429
마포구,2147213
양천구,1698490
강서구,2517803
구로구,1903682
금천구,1639417
영등포구,2690642
동작구,1303621
관악구,1744043
서초구,3340952
강남구,4668552
송파구,2820372
강동구,1534686
