시군구명,합계
종로구,83550
중구,70798
용산구,117690
성동구,141875
광진구,177923
동대문구,180219
중랑구,181187
성북구,193616
강북구,146499
도봉구,139386
노원구,205049
은평구,205219
서대문구,151245
마포구,195075
양천구,179681
강서구,258794
구로구,191043
금천구,120888
영등포구,196484
동작구,191220
관악구,275217
서초구,187278
강남구,237164
송파구,267365
강동구,168770
