시군구명,합계
송파구,85648
강서구,73519
강남구,72783
서초구,61467
영등포구,57571
구로구,57190
양천구,53192
노원구,52925
강동구,49164
은평구,46574
중랑구,44864
관악구,44110
성북구,43227
마포구,42667
성동구,40275
동대문구,38595
광진구,38445
금천구,37572
동작구,36751
도봉구,35425
서대문구,31153
강북구,29319
용산구,26953
중구,22016
종로구,19127
